x_screen,y_screen,blink_detected
948,778,False
945,779,False
941,776,False
939,779,False
939,779,False
932,777,False
934,773,False
929,773,False
927,767,False
927,766,False
929,765,False
932,765,False
936,762,False
937,762,False
936,761,False
934,761,False
935,761,False
934,766,False
937,765,False
939,764,False
932,768,False
937,771,False
939,771,False
940,768,False
937,768,False
938,771,False
938,774,False
942,773,False
940,775,False
951,777,False
951,775,False
952,787,False
956,795,False
968,808,False
975,820,False
985,835,False
986,860,False
990,893,False
991,921,False
994,962,False
998,1000,False
1002,1047,False
1003,1094,False
1001,1100,False
995,1100,False
980,1100,False
974,1100,False
963,1100,False
950,1100,False
937,1100,False
925,1100,False
905,1100,False
892,1100,False
881,1100,False
880,1100,False
872,1100,False
866,1100,False
860,1100,False
853,1100,False
844,1091,False
838,1080,False
830,1069,False
821,1059,False
807,1045,False
790,1029,False
766,1007,False
749,993,False
719,969,False
697,941,False
668,914,False
639,890,False
606,863,False
576,847,False
552,833,False
537,832,False
539,840,False
552,857,False
561,873,False
584,887,False
607,904,False
636,920,False
670,932,False
700,949,False
727,953,False
737,943,False
749,935,False
756,934,False
761,931,False
771,921,False
780,918,False
791,905,False
806,894,False
815,892,False
823,886,False
832,877,False
840,867,False
850,862,False
856,862,False
865,859,False
875,865,False
877,871,False
884,865,False
892,865,False
897,872,False
898,877,False
899,877,False
902,877,False
898,879,False
891,876,False
891,874,False
889,876,False
887,885,False
882,885,False
889,885,False
885,892,False
879,890,False
881,890,False
879,902,False
874,905,False
876,910,False
876,916,False
881,914,False
875,917,False
883,910,False
884,917,False
881,920,False
892,914,False
898,918,False
904,919,False
910,911,False
911,917,False
919,923,False
922,935,False
930,942,False
938,947,False
941,954,False
942,961,False
941,973,False
942,982,False
946,992,False
955,1002,False
952,1012,False
953,1021,False
956,1066,True
961,1100,False
951,1100,False
949,1100,False
950,1100,False
944,1100,False
937,1100,False
936,1100,False
931,1100,False
921,1065,False
908,1006,False
913,964,False
894,943,False
875,922,False
872,910,False
865,894,False
859,886,False
852,879,False
846,871,False
842,864,False
839,864,False
817,858,False
791,860,False
755,850,False
714,844,False
678,828,False
642,811,False
590,784,False
534,757,False
476,727,False
451,706,False
424,681,False
399,664,False
366,645,False
335,634,False
306,631,False
297,637,False
287,647,False
282,655,False
273,661,False
268,668,False
258,676,False
265,677,False
278,682,False
285,678,False
285,674,False
284,666,False
283,664,False
291,661,False
292,662,False
307,659,False
315,659,False
310,657,False
318,656,False
320,654,False
325,650,False
330,647,False
331,641,False
343,635,False
346,631,False
345,627,False
353,621,False
352,617,False
359,612,False
369,606,False
373,602,False
381,601,False
380,601,False
374,601,False
368,601,False
353,599,False
342,596,False
333,599,False
317,602,False
304,607,False
284,608,False
279,603,False
278,596,False
278,595,False
282,595,False
284,594,False
289,591,False
298,590,False
301,587,False
309,584,False
301,595,False
345,642,False
407,709,True
468,768,True
506,817,True
514,858,False
510,872,False
516,875,False
521,875,False
522,868,False
478,826,False
410,758,False
344,698,False
302,649,False
284,605,False
280,591,False
268,583,False
254,582,False
250,583,False
241,582,False
237,580,False
246,579,False
250,580,False
259,584,False
262,583,False
275,580,False
276,578,False
285,575,False
288,578,False
292,577,False
286,578,False
291,575,False
289,569,False
307,558,False
318,554,False
341,545,False
357,534,False
378,516,False
397,505,False
418,495,False
431,483,False
454,469,False
466,460,False
474,444,False
488,435,False
496,423,False
508,415,False
517,405,False
530,394,False
542,388,False
545,383,False
541,378,False
548,379,False
547,376,False
553,377,False
557,379,False
567,381,False
575,381,False
579,380,False
580,384,False
581,390,False
576,393,False
571,395,False
567,391,False
560,386,False
548,385,False
532,384,False
521,385,False
517,385,False
514,381,False
507,381,False
505,376,False
499,383,False
497,432,False
539,509,True
575,573,True
604,629,False
606,631,False
601,633,False
603,630,False
599,628,False
594,624,False
590,579,False
545,499,False
506,436,False
477,381,False
467,374,False
471,372,False
498,367,False
539,359,False
585,350,False
628,340,False
670,332,False
717,321,False
757,304,False
804,297,False
856,287,False
880,279,False
895,284,False
908,288,False
919,291,False
932,293,False
937,297,False
949,301,False
962,300,False
962,303,False
968,307,False
970,306,False
975,303,False
972,303,False
968,302,False
965,297,False
962,297,False
957,301,False
956,301,False
948,302,False
943,305,False
929,305,False
923,305,False
918,302,False
912,306,False
908,304,False
899,301,False
890,296,False
884,297,False
869,292,False
865,289,False
852,287,False
844,285,False
835,280,False
826,280,False
821,277,False
816,278,False
811,274,False
813,272,False
813,271,False
821,267,False
826,266,False
840,274,False
849,282,False
862,294,False
874,299,False
888,307,False
900,317,False
910,324,False
919,335,False
929,346,False
932,349,False
933,350,False
933,348,False
932,353,False
933,358,False
933,360,False
934,363,False
936,364,False
936,368,False
937,368,False
942,371,False
944,373,False
948,373,False
950,371,False
952,371,False
953,372,False
955,374,False
960,373,False
965,376,False
967,374,False
976,382,False
973,427,True
972,495,True
969,556,True
969,603,True
969,620,False
967,627,False
965,633,False
963,636,False
960,630,False
964,585,False
966,520,False
968,460,False
970,418,False
969,405,False
969,396,False
967,392,False
967,395,False
964,407,False
963,428,False
964,448,False
964,465,False
960,483,False
961,501,False
963,518,False
972,521,False
979,520,False
984,507,False
989,490,False
995,472,False
1001,457,False
1015,438,False
1042,416,False
1067,394,False
1087,383,False
1111,372,False
1133,366,False
1158,357,False
1193,351,False
1235,353,False
1268,358,False
1286,363,False
1304,376,False
1324,390,False
1343,404,False
1369,415,False
1397,427,False
1417,439,False
1428,441,False
1445,443,False
1461,446,False
1474,447,False
1484,445,False
1491,443,False
1500,448,False
1505,452,False
1505,453,False
1505,452,False
1508,449,False
1505,449,False
1508,447,False
1512,455,False
1516,457,False
1515,457,False
1509,457,False
1507,458,False
1507,467,False
1500,476,False
1497,480,False
1493,487,False
1490,484,False
1488,492,False
1493,494,False
1497,499,False
1500,503,False
1504,503,False
1510,500,False
1515,502,False
1521,504,False
1521,505,False
1520,503,False
1518,504,False
1518,504,False
1523,502,False
1525,501,False
1524,503,False
1523,498,False
1523,496,False
1526,498,False
1532,497,False
1530,500,False
1529,500,False
1525,498,False
1474,566,True
1439,621,True
1418,660,True
1420,673,False
1425,679,False
1422,683,False
1423,679,False
1428,677,False
1431,680,False
1478,612,False
1513,556,False
1535,525,False
1530,512,False
1526,507,False
1524,502,False
1522,499,False
1507,500,False
1464,499,False
1425,500,False
1380,500,False
1335,501,False
1293,502,False
1250,505,False
1211,508,False
1175,513,False
1149,517,False
1147,517,False
1147,514,False
1153,517,False
1154,512,False
1160,510,False
1159,507,False
1158,503,False
1153,501,False
1146,501,False
1148,498,False
1162,501,False
1174,507,False
1190,510,False
1203,519,False
1221,528,False
1237,539,False
1267,549,False
1300,562,False
1332,579,False
1349,595,False
1369,601,False
1393,616,False
1421,626,False
1449,635,False
1478,646,False
1497,652,False
1510,658,False
1524,665,False
1538,668,False
1557,668,False
1572,675,False
1578,680,False
1583,682,False
1593,688,False
1602,694,False
1613,696,False
1622,702,False
1634,708,False
1636,719,False
1640,724,False
1644,727,False
1650,734,False
1651,732,False
1650,741,False
1648,745,False
1645,746,False
1644,753,False
1640,754,False
1640,753,False
1642,759,False
1642,767,False
1641,776,False
1637,775,False
1642,780,False
1646,780,False
1646,775,False
1645,775,False
1642,770,False
1639,766,False
1640,761,False
1644,756,False
1651,757,False
1652,754,False
1649,758,False
1647,760,False
1650,763,False
1654,769,False
1655,769,False
1653,774,False
1650,776,False
1649,777,False
1649,778,False
1658,776,False
1663,780,False
1664,783,False
1667,786,False
1674,788,False
1679,787,False
1685,797,False
1691,802,False
1696,813,False
1694,826,False
1700,838,False
1699,849,False
1703,860,False
1705,877,False
1710,891,False
1716,902,False
1717,920,False
1717,935,False
1716,948,False
1715,962,False
1722,974,False
1718,985,False
1717,992,False
1710,995,False
1706,1006,False
1698,1003,False
1692,999,False
1692,995,False
1685,993,False
1679,989,False
1681,986,False
1677,980,False
1684,979,False
1682,972,False
1687,965,False
1693,962,False
1701,954,False
1714,946,False
1726,945,False
1737,941,False
1746,940,False
1751,938,False
1758,936,False
